sample,parcela,medida,n_veg_pixels,NDVI,GNDVI,NDRE,CIrededge,SAVI,EVI,VARI,TGI,spec_mean,spec_std,spec_p10,spec_p50,spec_p90,glcm_asm,glcm_contrast,glcm_correlation,glcm_variance,glcm_idm,glcm_sum_average,glcm_sum_variance,glcm_sum_entropy,glcm_entropy,glcm_diff_entropy,glcm_imc1,glcm_imc2,glcm_mcc,glcm_dissimilarity,glcm_inertia,glcm_cluster_shade,glcm_cluster_prominence,glcm_homogeneity,glcmw3_asm,glcmw3_contrast,glcmw3_entropy,glcmw3_correlation,glcmw3_homogeneity,glcmw5_asm,glcmw5_contrast,glcmw5_entropy,glcmw5_correlation,glcmw5_homogeneity,glcmw7_asm,glcmw7_contrast,glcmw7_entropy,glcmw7_correlation,glcmw7_homogeneity
R2_d100_b3,30,R2,65535,0.7941504716873169,0.23839667439460754,0.36221781373023987,1.1688299179077148,0.6614676713943481,-3.9481265544891357,1.7270889282226562,0.2270844727754593,0.31175801157951355,0.25599560141563416,0.05054641515016556,0.22632576525211334,0.7446389198303223,0.031591868711623075,1.4717862695972477,0.9682682806076125,23.191089194979654,0.6883593092634005,15.579402100216504,242.57514671527505,3.2797038842145483,4.040500644159907,1.1662641051341653,-0.4803767160307287,0.9603495850642092,0.9698424925239091,0.7563286533843553,1.4717862695972477,-335.02521525918365,14863.377304358793,0.7104425841051012,0.5112242166116394,0.4132740937934388,0.9257399352034067,0.41389731437808264,0.8393331825630503,0.3937453121255405,0.413320834036292,1.3448827022732415,0.6115900659031857,0.8393118418281755,0.33284656429856424,0.4133130675367909,1.6086950342999042,0.705712393454716,0.8392949304539705
R2_d100_b1,2,R2,65534,0.7461576461791992,0.18395625054836273,0.32555875182151794,0.9846571087837219,0.6092008352279663,-0.5346544981002808,1.7989331483840942,0.21989043056964874,0.30843135714530945,0.24428217113018036,0.06042304262518883,0.2322133481502533,0.7114617824554443,0.031645215136033425,1.554637232672016,0.9677269120917555,24.085659807273004,0.6864561123024915,13.969965990549177,208.6703860713215,3.2983970302361145,4.067252239120865,1.1868863764769593,-0.482914031167722,0.9617334198986016,0.9689572854883175,0.7720831546042894,1.554637232672016,-79.81628925700375,14166.540281987796,0.7100365322459377,0.5195064181252909,0.42589758675494627,0.9190761957363457,0.41460879591881444,0.8377070289411732,0.4079839980625982,0.4259141626391749,1.3327148979959087,0.5990378328679737,0.8377265666482783,0.350452245720984,0.4258321092665901,1.5937256407144758,0.6874439923831503,0.8377457394321979
R2_d100_b1,13,R2,65536,0.760208010673523,0.1890919804573059,0.3295058012008667,1.0017409324645996,0.6117146015167236,82.25825500488281,1.8485174179077148,0.2260017693042755,0.3043456971645355,0.24569165706634521,0.054743025451898575,0.21747693419456482,0.7090442180633545,0.031238949257547267,1.6592294730375563,0.9646497293534464,23.468412583491556,0.6706566941964377,13.90581341910374,204.55463202026644,3.3067468960954387,4.1166924463448975,1.2177483604789545,-0.4676994362658095,0.9586340974449236,0.9659617672254079,0.8159390318619291,1.6592294730375563,-89.36061359863368,13742.752707989275,0.696328538359092,0.49235398369417205,0.45726485906862746,0.9753465212158452,0.4376893377467262,0.8264679996709332,0.3773934565040812,0.45725529556440625,1.4104604617638627,0.6244565776033127,0.8264908355956677,0.31877939808301103,0.4571010435858371,1.6835303824141188,0.7142432876273792,0.8265244541067295
R2_d50_b3,40,R2,65536,0.7686830759048462,0.17478370666503906,0.32978078722953796,1.0043327808380127,0.6287803053855896,3.6783313751220703,-0.40163254737854004,0.23883311450481415,0.3157656490802765,0.248305544257164,0.0554235614836216,0.2345035821199417,0.7225313782691956,0.032213478601633976,1.6582414215669692,0.9646200445981634,23.434758504208332,0.6708249251535126,14.523437499985477,218.36775334436524,3.285690361483972,4.08903785474902,1.2160903779915049,-0.466073303503166,0.9574247844901159,0.9664531123315968,0.814476102940362,1.6582414215669692,-205.13834525415893,14179.770739790862,0.6962301559663623,0.4949618736383442,0.4538364651416122,0.9668903568928873,0.44145456491376334,0.8284912428513072,0.3788800757645603,0.45386096430759804,1.402522009823231,0.6302727714782742,0.8284665298628131,0.3195888430089864,0.45399785152776384,1.676801904763923,0.7208769291382144,0.8284178474558226
R2_d400_b3,45,R2,65536,0.792536199092865,0.20159806311130524,0.39845407009124756,1.3728548288345337,0.6495225429534912,0.27734994888305664,2.256178140640259,0.2134075164794922,0.30433425307273865,0.24863411486148834,0.050846729427576065,0.23261478543281555,0.7272219061851501,0.03597218215389604,1.4805223651945978,0.9694349566407842,24.219209305351473,0.6906312798875834,14.737737438710756,227.1224609718604,3.2605362940308127,4.006618184369822,1.1687239461428407,-0.48682251219794737,0.9612891970343788,0.970783744184546,0.7540058210776774,1.4805223651945978,-244.874572579041,15077.218130849817,0.713080427324889,0.5192364609809974,0.41136897467320266,0.9133353071959021,0.4158597491417927,0.8399236196214597,0.40442036308338436,0.4114002416938998,1.3258642839790258,0.6098969025009269,0.8399083478009259,0.3444505708823782,0.4115632506474812,1.5865663864092392,0.7035535370828617,0.8398728812705638
R2_d300_b2,26,R2,65536,0.7880585193634033,0.22805005311965942,0.4005545377731323,1.4152483940124512,0.6584411859512329,-0.6514565944671631,1.93260657787323,0.21126364171504974,0.30769163370132446,0.252950519323349,0.05245674401521683,0.2319585084915161,0.7450088262557983,0.032481231220067464,1.4800704656847943,0.9693440462754805,24.14001663217327,0.692491769716141,15.27749693625923,239.30386504139437,3.268172684738523,4.016801457885149,1.1641796787979024,-0.48338778559843093,0.9605919822767085,0.9711490299191526,0.7495557598031719,1.4800704656847943,-310.96988852881975,15180.439135525081,0.7142759616465708,0.5243695250090776,0.41143407883986927,0.9053237162260346,0.4002878062133747,0.8423864293981481,0.4116038994819089,0.41143897867306645,1.3133918789266907,0.5910007420055859,0.8423994399481436,0.3533476443132968,0.4115091139320311,1.5690453751555606,0.6823228918477922,0.8423776929536282
R2_d100_b4,54,R2,65535,0.7916931509971619,0.21014069020748138,0.3601148724555969,1.1606199741363525,0.6611509323120117,-43.70339584350586,-0.9563176035881042,0.23546545207500458,0.3187658488750458,0.25585100054740906,0.052338436245918274,0.2369767129421234,0.7504211068153381,0.034069710354791116,1.6080379300820344,0.9660311688819729,23.66931503142205,0.6784397233513838,15.523093538389453,243.60928697082636,3.253616582341578,4.039972502137788,1.2013390590667012,-0.46835938696709345,0.9568069274648924,0.9683593884434049,0.7938738931944634,1.6080379300820344,-353.86591939154414,15380.282713175136,0.7027345195656747,0.5030970761070251,0.44268844738279317,0.9494442011146786,0.4279888037953995,0.8320917180059042,0.38773705700412686,0.44261606408222404,1.376731588287845,0.6193635639777045,0.8320852093213966,0.3284218723493761,0.4425353812627628,1.6454746782668628,0.7088670728321269,0.8320929080821675
R2_d300_b2,31,R2,65501,0.7959398627281189,0.2288418412208557,0.3974796235561371,1.3793437480926514,0.657136082649231,4.054987907409668,1.9758728742599487,0.21402689814567566,0.3042069375514984,0.25263962149620056,0.04957868158817291,0.22316984832286835,0.7343987822532654,0.03068421477313043,1.545543734860643,0.9666201789033004,23.150869057499705,0.6844614854683675,15.340175368657437,236.2260297338435,3.2916029536996856,4.065045077459925,1.1828219546072622,-0.4762759585972421,0.9598084519381768,0.9681072558908156,0.7735076800433752,1.545543734860643,-297.61902790395817,14536.797557299189,0.7073420971431036,0.508228206909489,0.428229689318851,0.936533147597659,0.4179340280389212,0.8361056855983886,0.3929184781530348,0.4281723888885931,1.3575219567508057,0.6088994946491776,0.8361242150761683,0.33385604716594575,0.42801152854359403,1.6211304277050345,0.7004380250168071,0.8361630788124672
R2_d50_b1,3,R2,65531,0.7158799171447754,0.1549936830997467,0.302693635225296,0.8837687373161316,0.5789856314659119,3.619598150253296,2.3015472888946533,0.21338053047657013,0.3055400252342224,0.23465940356254578,0.06719254702329636,0.23546546697616577,0.6803470849990845,0.036820193132268086,1.5307487245468907,0.9686179127725175,24.38889283193751,0.6892241709540963,12.780063121434726,186.59869808909534,3.2630323089523174,4.021436252545355,1.183553904512758,-0.48459261583234714,0.9610472253217853,0.9694465267145396,0.7648955891582798,1.5307487245468907,89.05918295161837,14344.889949876218,0.7132073898331646,0.5218594715311886,0.4215166133706939,0.9153779091331123,0.4159732870715576,0.8379668127805566,0.4125570289418947,0.4214625641880395,1.3256048038814834,0.5957781357566918,0.8379784341298644,0.35711002691424165,0.4213196448875757,1.5817140496241127,0.685264411541731,0.838012670816115
R2_d50_b1,12,R2,65517,0.7089227437973022,0.13743221759796143,0.2900390028953552,0.8306105732917786,0.5574599504470825,1.544602870941162,1.4638645648956299,0.21096815168857574,0.29760536551475525,0.2317580133676529,0.06434453278779984,0.2202073633670807,0.6602227687835693,0.03933542721996566,1.674040811946127,0.9652332494115029,24.0753131014398,0.6782558593832315,12.04907242088894,171.97508971306297,3.25430817623091,4.042849503487023,1.2151919655618189,-0.4713206035955953,0.9577766769024408,0.9661401994135658,0.8040244902329872,1.674040811946127,195.27075340258216,14458.419709131347,0.7035242908847954,0.5123982431336653,0.45316625558233736,0.9391324912570779,0.424502675080235,0.8317433463913353,0.4028772517065019,0.4532552757241732,1.3567261070304921,0.6031289993095932,0.8317142018113256,0.3468036122900868,0.45332013590633435,1.6191556141427017,0.6926470576411712,0.8317008326621964
