safra,estagio,parcela,dose,bloco,atributo,valor
2023_2024,V6,123,0,3,glcm_contrast,3.22544
2023_2024,V6,123,0,3,glcm_correlation,0.896424
2023_2024,V6,123,0,3,glcm_variance,15.5704
2023_2024,V6,123,0,3,glcm_idm,0.50403
2023_2024,V6,123,0,3,glcm_sum_average,15.1603
2023_2024,V6,123,0,3,glcm_sum_variance,197.765
2023_2024,V6,123,0,3,glcm_sum_entropy,3.38282
2023_2024,V6,123,0,3,glcm_entropy,4.62137
2023_2024,V6,123,0,3,glcm_diff_entropy,1.48932
2023_2024,V6,123,0,3,glcm_imc1,-0.30009
2023_2024,V6,123,0,3,glcm_imc2,0.896879
2023_2024,V6,123,0,3,glcm_mcc,0.897783
2023_2024,V6,123,0,3,glcm_dissimilarity,1.34036
2023_2024,V6,123,0,3,glcm_inertia,3.22544
2023_2024,V6,123,0,3,glcm_cluster_shade,-38.4012
2023_2024,V6,123,0,3,glcm_cluster_prominence,7355.15
2023_2024,V6,123,0,3,glcm_homogeneity,0.555491
2023_2024,V6,123,0,3,glcmw3_asm,0.311456
2023_2024,V6,123,0,3,glcmw3_contrast,0.831305
2023_2024,V6,123,0,3,glcmw3_entropy,1.37288
2023_2024,V6,123,0,3,glcmw3_correlation,0.630432
2023_2024,V6,123,0,3,glcmw3_homogeneity,0.719951
2023_2024,V6,123,0,3,glcmw5_asm,0.1947
2023_2024,V6,123,0,3,glcmw5_contrast,0.825686
2023_2024,V6,123,0,3,glcmw5_entropy,1.94165
2023_2024,V6,123,0,3,glcmw5_correlation,0.74921
2023_2024,V6,123,0,3,glcmw5_homogeneity,0.720852
2023_2024,V6,123,0,3,glcmw7_asm,0.148141
2023_2024,V6,123,0,3,glcmw7_contrast,0.822216
2023_2024,V6,123,0,3,glcmw7_entropy,2.26406
2023_2024,V6,123,0,3,glcmw7_correlation,0.787735
2023_2024,V6,123,0,3,glcmw7_homogeneity,0.721552
2023_2024,V6,123,0,3,rgb_glcm_asm,0.0155091
2023_2024,V6,123,0,3,rgb_glcm_contrast,2.63601
2023_2024,V6,123,0,3,rgb_glcm_correlation,0.888519
2023_2024,V6,123,0,3,rgb_glcm_variance,11.8227
2023_2024,V6,123,0,3,rgb_glcm_idm,0.536034
2023_2024,V6,123,0,3,rgb_glcm_sum_average,14.0922
2023_2024,V6,123,0,3,rgb_glcm_sum_variance,161.742
2023_2024,V6,123,0,3,rgb_glcm_sum_entropy,3.27154
2023_2024,V6,123,0,3,rgb_glcm_entropy,4.43871
2023_2024,V6,123,0,3,rgb_glcm_diff_entropy,1.401
2023_2024,V6,123,0,3,rgb_glcm_imc1,-0.299684
2023_2024,V6,123,0,3,rgb_glcm_imc2,0.889293
2023_2024,V6,123,0,3,rgb_glcm_mcc,0.888882
2023_2024,V6,123,0,3,rgb_glcm_dissimilarity,1.196
2023_2024,V6,123,0,3,rgb_glcm_inertia,2.63601
2023_2024,V6,123,0,3,rgb_glcm_cluster_shade,-12.5064
2023_2024,V6,123,0,3,rgb_glcm_cluster_prominence,5174.13
2023_2024,V6,123,0,3,rgb_glcm_homogeneity,0.57961
2023_2024,V6,123,0,3,rgb_glcmw3_asm,0.321443
