sample,parcela,medida,n_veg_pixels,NDVI,NDRE,CIrededge,SAVI,spec_mean,spec_std,spec_p10,spec_p50,spec_p90,glcm_asm,glcm_contrast,glcm_correlation,glcm_variance,glcm_idm,glcm_sum_average,glcm_sum_variance,glcm_sum_entropy,glcm_entropy,glcm_diff_entropy,glcm_imc1,glcm_imc2,glcm_mcc,glcm_dissimilarity,glcm_inertia,glcm_cluster_shade,glcm_cluster_prominence,glcm_homogeneity,glcmw3_asm,glcmw3_contrast,glcmw3_entropy,glcmw3_correlation,glcmw3_homogeneity,glcmw5_asm,glcmw5_contrast,glcmw5_entropy,glcmw5_correlation,glcmw5_homogeneity,glcmw7_asm,glcmw7_contrast,glcmw7_entropy,glcmw7_correlation,glcmw7_homogeneity,phys_CHL_total,phys_N_percent,phys_N_acumulado
V13_d0_b1,1,V13,43568,0.633274495601654,0.20946869254112244,0.5461616516113281,0.5531618595123291,0.36509618163108826,0.23833832144737244,0.08479664474725723,0.3433724045753479,0.7291020154953003,0.018944567448608216,1.8378522314383314,0.9409983024840503,15.574570806675766,0.6339162167195569,13.24651762783153,158.43351818762702,3.3483820866198384,4.28332276625204,1.2612838240230746,-0.40966975297908514,0.9433687599099504,0.942354673268056,0.9051563960841629,1.8378522314383314,39.14889059498182,7488.549063477904,0.6626559579172572,0.43274630218350074,0.5090475680139938,1.0908405335517735,0.47224843832690333,0.8047127022122055,0.30965548501168116,0.5096354271293267,1.567247857894387,0.6635886751411464,0.8045908356419268,0.24900735696436166,0.5099344453246979,1.8563601012047628,0.7533577970506191,0.8044787289564612,38.2,1.197,32.5584
V13_d50_b1,15,V13,51063,0.7242202162742615,0.2743071913719177,0.7847099304199219,0.6378271579742432,0.3600548803806305,0.26664379239082336,0.05521317943930626,0.32763174176216125,0.8021632432937622,0.018885473495269377,2.0352676689596056,0.9487147357756367,19.842616584265617,0.6221975347421888,14.689736847372851,205.3232555546383,3.3765561767421985,4.323559415937876,1.3008295295041206,-0.4104326997572983,0.9448617673563997,0.9495045786051172,0.9548365081585826,2.0352676689596056,-120.33958051608158,10421.529674712434,0.653246306685606,0.427003353664956,0.5527211916267558,1.1137656743179727,0.4903582730806984,0.7971899819794567,0.305342339305252,0.5528860911624515,1.6031981173904122,0.6764932323124717,0.7971473542685901,0.24578442344006832,0.5530285518827374,1.9048943980709674,0.7627073955071578,0.7970968289835052,38.88333333333334,1.295,49.728
V13_d100_b1,43,V13,49172,0.759462296962738,0.30159252882003784,0.9357075095176697,0.6204487681388855,0.31237009167671204,0.2515619397163391,0.03817678242921829,0.2707630395889282,0.7008309960365295,0.02072641589505228,1.5992302439614028,0.9492109748642138,15.743856468907516,0.6660803169647679,13.870010553093088,171.9943837067087,3.3524924012257538,4.220013391556881,1.2021827178288802,-0.4382763707359467,0.9520431997622062,0.9500117137605931,0.813458315226699,1.5992302439614028,12.264302182269091,7674.106008992116,0.6904025396095902,0.4656187101890154,0.455238132331398,1.0160766402379728,0.4409537876310886,0.8217775751525256,0.343357536711725,0.45529945805552413,1.4655408725124133,0.6394941981542772,0.8218076367650748,0.2816981885826114,0.4554641818632047,1.7425596307848406,0.7317929367907308,0.8217512530212754,49.79166666666666,1.148,69.18613333333333
V13_d200_b1,57,V13,49909,0.7504912614822388,0.31820160150527954,0.9780066013336182,0.6364538073539734,0.3319035470485687,0.26603859663009644,0.0450013093650341,0.2772538363933563,0.7676918506622314,0.019931829107645647,1.7979271950349742,0.9528455607563906,19.064241074328308,0.6309167481264404,14.628076338372324,201.3860000052673,3.3618896320024003,4.273112540838145,1.2538240663339921,-0.4230399331154275,0.9481561397216305,0.9551615133092214,0.9054706438217659,1.7979271950349742,-153.99546495747825,10328.549972039807,0.6595353609752905,0.4310349197942809,0.5020089995697298,1.0971598209154085,0.47527910320319416,0.8042184769904669,0.310285832460785,0.5020628473266273,1.574395188192915,0.6633216825137334,0.804195954600351,0.2512407420490335,0.5022372026636135,1.8677598230454613,0.7532335931741557,0.8041392072124252,47.51666666666667,2.023,128.3930666666667
V13_d300_b1,71,V13,53071,0.7328375577926636,0.31570538878440857,0.965670645236969,0.6395642757415771,0.3435143828392029,0.2683432400226593,0.05205731466412544,0.29380834102630615,0.7987380027770996,0.02091225345954692,1.848935597390509,0.9543391155858294,20.246383978347865,0.6343022192412104,14.96074113957851,213.79492283507454,3.356503873869874,4.2564815005474985,1.265080304651328,-0.4257956932016844,0.9486847581807375,0.9567368110611367,0.9075498548095768,1.848935597390509,-191.9770436086044,11092.533114514114,0.6632902473175355,0.44077089904038,0.5118723998901852,1.0806785487680053,0.4721052299009596,0.8051599660844729,0.3198461522143867,0.5119751960754723,1.5546589550153744,0.659775489329375,0.80515001523688,0.26013017718904663,0.5121265336305584,1.8454846475381643,0.7493159887623249,0.8050823976751407,46.44166666666666,2.226,118.72
V13_d400_b1,85,V13,48600,0.7294288277626038,0.2932197153568268,0.8620787262916565,0.6407894492149353,0.3553849458694458,0.26680895686149597,0.054180603474378586,0.31438127160072327,0.7946488261222839,0.017311062044613593,2.0845520591275823,0.9445958483142881,18.812236949702616,0.6025446953245068,14.945759254766209,206.84919509884406,3.383544961692875,4.366001911449768,1.31428511177722,-0.3975104746080135,0.9409409192175308,0.9459101807895043,0.9981390556485974,2.0845520591275823,-141.58801077382492,9961.350028948504,0.6359328477949435,0.3968750491502654,0.5663929014920301,1.1757737272990272,0.5162357025151358,0.7864378625891226,0.27281839871098446,0.5666936699064828,1.689044639361171,0.6997255169821571,0.7863401249597414,0.2138170296455285,0.5670967656160621,2.001477936652365,0.7803337645873084,0.7862549531253248,49.525,2.527,153.6416
V13_d400_b2,113,V13,52954,0.7240726947784424,0.28151798248291016,0.8246763944625854,0.6265864968299866,0.35187485814094543,0.25650644302368164,0.05494505539536476,0.3212977349758148,0.7569335699081421,0.017487798933552942,1.9183630337653135,0.9434238770363718,16.953821976268664,0.6180275932195453,14.24771602861345,184.04840006399175,3.377965562641801,4.343133830409201,1.2766099975835028,-0.40380804926116587,0.9428235336154351,0.9447708788699613,0.9455017051722135,1.9183630337653135,-56.64001754331264,8648.662324226665,0.6480000716677075,0.4090930137748022,0.5318832836398077,1.1417807873030863,0.47925246845787395,0.7965009146340618,0.28580176378807876,0.5318214504264867,1.632097302791341,0.6672075982574812,0.7965166063214564,0.22728258010491778,0.5315206695400544,1.9253256653370496,0.7520869718557313,0.7966104209116687,48.975,2.576,138.7605333333333
V13_d300_b2,114,V13,53742,0.7931436896324158,0.3494315445423126,1.1500364542007446,0.6678594350814819,0.32621681690216064,0.27168840169906616,0.030523627996444702,0.2680715322494507,0.7639846801757812,0.019024872770900012,1.828766345587937,0.9458071247659675,16.87275622093309,0.6308901362701167,15.444798743432127,211.83020522806996,3.3548050838102075,4.290934461931943,1.2581939378247053,-0.41154347304839267,0.9443315718943847,0.9503135796918598,0.9097420661194845,1.828766345587937,-183.83663752514576,9143.420138412943,0.6593363043979049,0.4264544290781378,0.5076684810639198,1.1043807823745093,0.471055887622401,0.8038447898824996,0.30305319372076656,0.5074606555649332,1.5848604377803683,0.663423023644272,0.8038654312032047,0.24282615797802592,0.5074055716440719,1.877901757399651,0.7529622212081966,0.8038649719298873,52.925,2.149,122.6362666666667
V13_d200_b2,116,V13,55281,0.7380950450897217,0.31151971220970154,0.9610588550567627,0.6393161416053772,0.34478870034217834,0.2629455626010895,0.04846145585179329,0.2992030382156372,0.7719523906707764,0.01716869086502403,2.108182710205417,0.9420260511491506,18.182155536152578,0.6113786461578159,14.497482736787065,194.17078852652676,3.382162269435567,4.376249736967459,1.3131316456531583,-0.3938512168286915,0.9397218570850691,0.9444664365735408,0.9835667189367222,2.108182710205417,-98.01173522463375,9363.04405222519,0.6432138046006823,0.4082999817696383,0.5717074579515687,1.1526319037647537,0.48294920317834733,0.7916270366385607,0.2873951651826029,0.5718340127615271,1.6492779144333847,0.666625719327998,0.7915646646322192,0.22976710243631127,0.5719929756233371,1.949954646909242,0.7524085358914654,0.7915498967214742,51.74166666666667,2.289,115.976
V13_d100_b2,117,V13,53242,0.7103351354598999,0.2812142074108124,0.8225137591362,0.612634539604187,0.3405096232891083,0.2579951584339142,0.05489153787493706,0.29741498827934265,0.7695116400718689,0.017786956326276207,2.2990780624899063,0.9418278601750203,19.760989275214285,0.6055474313727613,13.882584878676024,186.8393196197195,3.3899950848657756,4.392029284669151,1.3502570072366973,-0.3946614669835484,0.9405409428519005,0.9441567389178417,1.02212266277707,2.2990780624899063,-15.42260948946955,10340.942251420773,0.6397289505963327,0.4101077901097484,0.6103040783736909,1.155572788402322,0.5024534029320035,0.7860604655613288,0.2902043598021191,0.6106965219290932,1.6574433446876127,0.6792626622915401,0.78594899340076,0.2328374298565175,0.6108541685427892,1.9632776527185616,0.76025962053966,0.7859142961269328,49.24166666666667,1.351,62.68640000000001
V13_d50_b2,118,V13,51821,0.6879289746284485,0.2498394101858139,0.685370683670044,0.6059117317199707,0.36454614996910095,0.25259068608283997,0.07263752073049545,0.3413258194923401,0.7681593894958496,0.01890307626587412,2.0143992446277754,0.9466720327668433,18.886893210572026,0.6285676544342376,13.464355968198038,175.2416765769808,3.3792926080028938,4.325188252499222,1.2931861575082537,-0.4129926660620257,0.9458956765098875,0.9479112225455532,0.9392556456045371,2.0143992446277754,21.67587209787871,9634.25761610493,0.6584413373894062,0.4300148893491206,0.5473926815968182,1.102577635866153,0.48507412669427363,0.8002866080019391,0.3069746215048185,0.5471742243059079,1.5874106062571798,0.6771441389497415,0.8002756527427937,0.2459712035474929,0.5469464095503535,1.8877206847903663,0.7650962115609674,0.8003354343214932,38.69166666666667,0.98,32.40533333333333
V13_d0_b2,119,V13,51812,0.6633979082107544,0.2055467665195465,0.5296872854232788,0.578269362449646,0.3705593943595886,0.2497655153274536,0.07721168547868729,0.34841373562812805,0.7516125440597534,0.01809694047387269,2.0035936420159643,0.9444484204153578,18.03363339895455,0.6278750513616999,13.658840951709113,175.72881493770123,3.382758284480136,4.335993892072041,1.2915822803449866,-0.41174226225159977,0.9457295730483593,0.9468728081146229,0.9393819725531132,2.0035936420159643,32.053729280850234,9166.870351457199,0.6577197838354751,0.4258570533316265,0.5491367366879595,1.109648488143478,0.4884758838639436,0.7989298950392033,0.3031930908488538,0.5491093030947237,1.5943794474168658,0.6776353589906055,0.7989299665239471,0.24243777953373874,0.5491035730345618,1.8935663013474788,0.76546076259791,0.7989021461281165,37.30833333333334,1.435,23.72533333333333
V13_d200_b3,121,V13,53812,0.751095175743103,0.33225950598716736,1.0529098510742188,0.6423086524009705,0.32907405495643616,0.26067888736724854,0.04364781826734543,0.28213590383529663,0.7628618478775024,0.01994734405897556,1.7436607430710651,0.9507352094007585,17.696824869837464,0.6467251916124301,14.48950253189516,192.81907471824596,3.3640615976324377,4.262547933407928,1.236431500939786,-0.42879177949106095,0.9499304121934383,0.9538711676663921,0.8685872513125001,1.7436607430710651,-98.63002544656223,9110.917851462804,0.6731627436435126,0.4458318478544847,0.48904570240167167,1.0627521567556966,0.45491919691747684,0.812459381926044,0.3234742658421783,0.4893381655471378,1.5301736152887115,0.6469802373607457,0.8123571744072857,0.2629721010899818,0.48943175913191816,1.816558023950967,0.7375065005411301,0.8123501882967744,47.43333333333334,2.324,153.6938666666667
V13_d100_b3,122,V13,52496,0.7619093060493469,0.29770272970199585,0.8974834680557251,0.6268188953399658,0.32055220007896423,0.26212266087532043,0.03225374594330788,0.272216260433197,0.7398287057876587,0.018195139140877316,1.899240249211983,0.9476337755247923,18.134210248542324,0.6339163672820853,14.304622956568574,189.88245666180956,3.3846936565841146,4.328587493032945,1.272091504633075,-0.4158857265376699,0.9470892399239192,0.9501726074595104,0.9141618327757893,1.899240249211983,-60.706515540504824,9406.100079833317,0.6628555548108594,0.4397118396233066,0.5211881607205471,1.0846772733390977,0.4679422868850372,0.8047894804102392,0.3198615603814048,0.5214327659274274,1.5601953591947102,0.6548089066194763,0.8047391161689252,0.26052293722203423,0.5214565356889738,1.8526451433188722,0.7451584925887026,0.8046953101241352,42.975,1.358,75.68586666666667
V13_d0_b3,123,V13,51934,0.6781454086303711,0.2278001755475998,0.6048774719238281,0.582631528377533,0.34904029965400696,0.2550699710845947,0.06595872342586517,0.30234819650650024,0.7665270566940308,0.022469333518938518,2.085575537435978,0.9520085397263486,21.728610938929364,0.6269570119142968,12.910693487560376,176.17392911255874,3.3532324808849188,4.273607887483903,1.3097292199259338,-0.4200324706940558,0.9470595380966874,0.953370741587702,0.9542610103233838,2.085575537435978,99.88405317085397,11707.116724093852,0.6581185171287065,0.446264763390304,0.5589773441389,1.0820376874103217,0.48202776559970867,0.8000266354992209,0.33038218913299855,0.5590789254059279,1.555711607172466,0.6604867108801138,0.8000053119303885,0.2725142808360621,0.5591722922807072,1.8506780081045067,0.7496007863889042,0.7999687862173823,36.30833333333334,1.141,17.03893333333333
V13_d400_b3,124,V13,54269,0.751009464263916,0.31549811363220215,0.9682369232177734,0.6397086977958679,0.327431321144104,0.2568500339984894,0.04674721509218216,0.28967154026031494,0.7547257542610168,0.017863483825126432,2.0366438227894097,0.9442832123284551,18.276752015052654,0.6268927216566714,13.781354154950082,179.10450897041952,3.387406650136529,4.347175297881044,1.2959671997435587,-0.4081326601896764,0.944656496678285,0.9451690743693382,0.9451185260073685,2.0366438227894097,5.61506498309285,9234.82565962094,0.6567369221334117,0.4224545991948797,0.5571236533297008,1.1202105429595388,0.4736439645412009,0.797838541133143,0.3009401192773722,0.5570560592927057,1.6048238660138665,0.6600292597885862,0.7978380251764752,0.24256650995781942,0.5571137706589098,1.8972087623327352,0.7451820537383911,0.7978217622455974,50.44166666666666,2.366,119.8773333333334
V13_d300_b3,125,V13,55545,0.7243163585662842,0.298165887594223,0.8965015411376953,0.619076669216156,0.33755484223365784,0.2519789934158325,0.05101706087589264,0.30052492022514343,0.740813672542572,0.017105642723776144,2.041798531622747,0.9404942619477134,17.15631633487865,0.6122856724732396,13.688768297674304,172.8057461699318,3.382348969805676,4.3723624295590096,1.302317346604323,-0.3965863292026034,0.9407496511619629,0.9420115509337952,0.9731314697422891,2.041798531622747,14.146134696296599,8758.861678596058,0.6438725953232259,0.4070401765737156,0.5580942337827981,1.1547021183867174,0.4877493304409338,0.7916827643983491,0.2852377065457744,0.5583283037808503,1.6525167953685882,0.673261574826914,0.7915962363087629,0.22693660313537098,0.5586028992860923,1.9541555985035206,0.7579836281099535,0.7915200299815413,47.90833333333333,2.345,137.5733333333334
V13_d50_b3,126,V13,53895,0.714647114276886,0.2509859502315521,0.694365918636322,0.6056638360023499,0.34759339690208435,0.2575695514678955,0.05052897706627846,0.3131217360496521,0.746407687664032,0.01861836377289496,2.107946819759185,0.9430238647155696,18.49850651630262,0.6156271238086576,13.819440247757743,180.9422422058631,3.3764443672533297,4.359892583468306,1.3125328238470968,-0.4010959576674282,0.9422281283212737,0.9456123834090719,0.9761293246704243,2.107946819759185,-35.19506124037815,9775.518402553367,0.6470900120378089,0.4191306134212081,0.5681460566277716,1.1301739075885915,0.49152949976041516,0.7944396234767668,0.29783344571533726,0.5682907366657273,1.6236725223230457,0.6783871637885053,0.7943842201980331,0.23846050198769436,0.5683640940096357,1.9271852545200971,0.7670442100254486,0.7943620734268186,41.63333333333333,1.302,33.3312
